Published Date,Project Type,Project Type Name,Budget Line,Budget Line Title,Funding Type,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount
20180713,CS,ADMIN FOR CHILDREN'S SERVICES,CS 0004,"EQUIPMENT FOR  ACS, CITYWIDE",F,2019,0,0,228274,733000
20180713,PW,PUBLIC BUILDINGS,PW D007,NORTHSIDE TOWN HALL COMMUNITY AND CULTURAL CENTER,C,2019,900000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV 0205,"NEW YORK BOTANICAL GARDENS, IMPROVEMENTS",C,2019,4500000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV DN01L,UNIVERSAL HIP HOP MUSEUM,C,2019,0,4000000,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV 0525,"STUDIO MUSEUM IN HARLEM SCULPTURE GARDEN/GALLERY, IMPROVEMENTS",C,2019,1500000,0,0,0
20180713,HO,HEALTH & HOSPITALS CORP.,HO 0214,"HOSPITALS, IMPROVEMENTS",C,2019,0,208479641,243130000,100966000
20180713,E ,EDUCATION,E  X001,"BRONX BOROUGH PRESIDENT, SECTION 211 & 249 ADDITIONS",C,2019,9751000,0,0,0
20180713,FA,FERRIES & AVIATION,FA 0026,FERRY MAINTENANCE FACILITY,S,2019,0,366000,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV M475,"NEW YORK STATE THEATER ALTERATIONS AND IMPROVEMENTS, MANHATTAN",C,2019,50000,0,0,0
20180713,PO,POLICE,PO 0002,"CONSTRUCTION OF A NEW 116th PRECINCT STATION HOUSE, QUEENS",C,2019,66450000,1000000,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV DN204,JAZZ AT LINCOLN CENTER,C,2019,546000,0,0,0
20180713,FA,FERRIES & AVIATION,FA 0022,ARCH. ENGINEERING & ADMIN. EXPENSES ETC. CAPITAL BUDGET PROJECTS,C,2019,1000000,0,0,0
20180713,C ,CORRECTION,C  0136,CORRECTION INDUSTRIES FACILITIES AND SUPPORT,C,2019,464000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV MN290,NEW 42ND STREET INC.,C,2019,100000,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 7055,"167TH STREET PEDESTRIAN BRIDGE OVER LIRR, QUEENS",C,2019,149000,0,10342000,0
20180713,HR,HUMAN RESOURCES,HR 0110,PRIVATE BRANCH EXCHANGE,C,2019,2093445,1648000,635000,0
20180713,PV,CULTURAL INSTITUTIONS,PV 0235,"BROOKLYN MUSEUM, IMPROVEMENTS",C,2019,2868000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV 0N860,JACQUES MARCHAIS MUSEUM OF TIBETAN ART,C,2019,250000,63000,0,0
20180713,C ,CORRECTION,C  0101,"SECURITY SYSTEMS, VARIOUS FACILITIES",C,2019,0,0,1649995,0
20180713,PV,CULTURAL INSTITUTIONS,PV M467,"CONSTRUCTION, IMPROVEMENTS, ACQUISITION, ALL CULTURAL INSTITUTIONS",C,2019,387000,2000,0,0
20180713,HB,HIGHWAY BRIDGES,HB 1139,"RECON EAST 183RD ST BR/METRO-NORTH RR, HAR, THE BRONX",C,2019,0,0,20239000,0
20180713,PV,CULTURAL INSTITUTIONS,PV DN993,"MOVEMENT RESEARCH, INC.",C,2019,115000,0,0,0
20180713,HW,HIGHWAYS,HW 0001K,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., BROOKLYN",C,2019,8074814,51735000,116595000,23967000
20180713,HD,HOUSING & DEVELOPMENT,HD KN262,MET COUNCIL ON JEWISH POVERTY,C,2019,500000,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 0548,"RECONST & STRUCT REHAB BDGE AT 21ST AVE, BROOKLYN",C,2019,0,6207000,38724000,56338000
20180713,WP,WATER POLLUTION CONTROL,WP 0285,"BIONUTRIENT REMOVAL FACILITIES, CITYWIDE",E,2019,32319413,5500000,5500000,5500000
20180713,SE,SEWERS,SE 0200M,"CONSTRUCTION AND RECONSTRUCTION OF STORM WATER SEWERS, MANHATTAN",C,2019,3480789,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 0215,"IMPROVEMENTS TO HIGHWAY BRIDGES & STRUCTURES, CITYWIDE.",C,2019,0,90854680,245129000,410872000
20180713,PW,PUBLIC BUILDINGS,PW QN371,SAMUEL FIELD YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSN (YM & YWHA),C,2019,500000,0,0,0
20180713,HB,HIGHWAY BRIDGES,HB 3038,"KANE STREET BRIDGE OVER 278-I (BQE), BROOKLYN",C,2019,496000,0,15442000,0
